name,error,returns,stock_name
['stock_Jobi'],0.00027,48.0,stock_Jobi
"['stock_Jobi', 'onion']",0.00038,39.37,stock_Jobi
"['stock_Asia', 'green_pepper', 'cabbage1', 'potato_price']",0.00025,17.63,stock_Asia
['stock_Asia'],0.00025,13.11,stock_Asia
"['stock_Asia', 'green_pepper', 'cabbage1']",0.00027,13.11,stock_Asia
"['stock_Asia', 'cabbage1']",0.00033,13.11,stock_Asia
"['stock_Asia', 'green_pepper']",0.00023,12.81,stock_Asia
"['stock_Asia', 'Exchange_Rate']",0.00029,12.81,stock_Asia
"['stock_Asia', 'potato_price', 'cabbage1']",0.00037999999999999997,12.2,stock_Asia
"['stock_Asia', 'potato_price']",0.00026000000000000003,11.0,stock_Asia
